nama_organisasi,kode_jabatan,kelompok_jabatan,bod_level,nama_jabatan,id_jobfamily,komoditas
SUPP,SUPH00001,head of PMO (Sub Holding),1,Head Of PMN,34,
SUPP,SUPH00002,Kepala Divisi (Sub Holding),1,Kepala Divisi  Hubungan Kelembagaan dan TJSL,15,
SUPP,SUPH00003,Kepala Divisi (Sub Holding),1,Kepala Divisi Akuntansi dan Perpajakan,15,
SUPP,SUPH00004,Kepala Divisi (Sub Holding),1,Kepala Divisi Hukum,16,
SUPP,SUPH00005,Kepala Divisi (Sub Holding),1,Kepala Divisi Inovasi dan Pengembangan Bisnis,17,
SUPP,SUPH00006,Kepala Divisi (Sub Holding),1,Kepala Divisi Komoditi Aneka Tanaman,18,
SUPP,SUPH00007,Kepala Divisi (Sub Holding),1,Kepala Divisi Komoditi Sawit dan Karet,18,
SUPP,SUPH00008,Kepala Divisi (Sub Holding),1,Kepala Divisi Komoditi Tebu,18,
SUPP,SUPH00009,Kepala Divisi (Sub Holding),1,Kepala Divisi Manajemen dan Optimalisasi Aset I,17,
SUPP,SUPH00010,Kepala Divisi (Sub Holding),1,Kepala Divisi Manajemen dan Optimalisasi Aset II,17,
SUPP,SUPH00011,Kepala Divisi (Sub Holding),1,Kepala Divisi Manajemen Risiko dan Sustainability,16,
SUPP,SUPH00012,Kepala Divisi (Sub Holding),1,Kepala Divisi Operasional SDM dan General Affair,15,
SUPP,SUPH00013,Kepala Divisi (Sub Holding),1,Kepala Divisi Pengadaan dan Teknologi Informasi,15,
SUPP,SUPH00014,Kepala Divisi (Sub Holding),1,Kepala Divisi Pengembangan SDM dan Budaya Perusahaan,15,
SUPP,SUPH00015,Kepala Divisi (Sub Holding),1,Kepala Divisi Perbendaharaan Anggaran dan Keuangan,13,
SUPP,SUPH00016,Kepala Divisi (Sub Holding),1,Kepala Divisi Portofolio dan Strategi Korporasi,17,
SUPP,SUPH00017,Kepala Divisi (Sub Holding),1,Kepala Divisi Satuan Pengawasan Intern,16,
SUPP,SUPH00018,Kepala Divisi (Sub Holding),1,Kepala Divisi Sekretariat Perusahaan,15,
SUPP,SUPH00019,head of PMO (Sub Holding),1,Lead STO/PMO,34,
SUPP,SUPH00020,Co Head/Co Lead/Lead (Sub Holding),2,Co Lead STO,34,
SUPP,SUPH00021,Co Head/Co Lead/Lead (Sub Holding),2,Deputy Project Manajer PMN,34,
SUPP,SUPH00022,Kepala Sub Divisi (Sub Holding),2,"Kepala Sub Divisi Administrasi, Pemetaan, Pemeliharaan dan KSO Aneka Tanaman",18,
